Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
80137;Watkins;CO;39.749664;-104.60811;-7;1;39.749664,-104.60811
80633;Greeley;CO;40.500919;-104.31497;-7;1;40.500919,-104.31497
80651;Platteville;CO;40.228533;-104.84267;-7;1;40.228533,-104.84267
81151;Sanford;CO;37.23354;-105.7477;-7;1;37.23354,-105.7477
80209;Denver;CO;39.706535;-104.96698;-7;1;39.706535,-104.96698
80024;Dupont;CO;39.844685;-104.91851;-7;1;39.844685,-104.91851
80429;Climax;CO;39.225758;-106.311697;-7;1;39.225758,-106.311697
80701;Fort Morgan;CO;40.226357;-103.80625;-7;1;40.226357,-103.80625
80540;Lyons;CO;40.253033;-105.33762;-7;1;40.253033,-105.33762
80904;Colorado Springs;CO;38.850558;-104.86481;-7;1;38.850558,-104.86481
81225;Crested Butte;CO;38.901649;-106.96755;-7;1;38.901649,-106.96755
80244;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80035;Westminster;CO;39.80797;-104.407918;-7;1;39.80797,-104.407918
80479;Toponas;CO;40.041288;-106.8557;-7;1;40.041288,-106.8557
81237;Ohio City;CO;38.590788;-106.602838;-7;1;38.590788,-106.602838
80744;Ovid;CO;40.888124;-102.3726;-7;1;40.888124,-102.3726
81067;Rocky Ford;CO;38.042083;-103.72231;-7;1;38.042083,-103.72231
80624;Gill;CO;40.481168;-104.5151;-7;1;40.481168,-104.5151
80749;Sedgwick;CO;40.86845;-102.54595;-7;1;40.86845,-102.54595
80296;Sherrelwood;CO;39.832432;-104.987535;-7;1;39.832432,-104.987535
80274;Denver;CO;39.743934;-104.987577;-7;1;39.743934,-104.987577
80911;Colorado Springs;CO;38.746807;-104.7232;-7;1;38.746807,-104.7232
80021;Broomfield;CO;39.881608;-105.09953;-7;1;39.881608,-105.09953
81323;Dolores;CO;37.515311;-108.45204;-7;1;37.515311,-108.45204
80439;Evergreen;CO;39.642572;-105.36812;-7;1;39.642572,-105.36812
81321;Cortez;CO;37.344985;-108.60355;-7;1;37.344985,-108.60355
81137;Ignacio;CO;37.099348;-107.64223;-7;1;37.099348,-107.64223
80834;Seibert;CO;39.315812;-102.88573;-7;1;39.315812,-102.88573
80133;Palmer Lake;CO;39.113371;-104.90493;-7;1;39.113371,-104.90493
